geo,country_name,sector_code,sector_label,year,value
AL,Albania,C,Manufacturing,2022,8.54
AL,Albania,G,Wholesale & retail,2022,2.78
AL,Albania,J,Information & communication,2022,4.21
AL,Albania,F,Construction,2022,9.22
AL,Albania,N,Administrative services,2022,6.68
AT,Austria,C,Manufacturing,2022,17.6
AT,Austria,G,Wholesale & retail,2022,3.65
AT,Austria,J,Information & communication,2022,6.35
AT,Austria,F,Construction,2022,0.76
AT,Austria,N,Administrative services,2022,1.84
AT,Austria,H,Transport & storage,2022,2.66
AT,Austria,I,Accommodation & food,2022,1.65
AT,Austria,ICT,ICT sector,2022,5.38
BA,Bosnia and Herzegovina,C,Manufacturing,2022,14.04
BA,Bosnia and Herzegovina,J,Information & communication,2022,0.0
BA,Bosnia and Herzegovina,N,Administrative services,2022,0.0
BA,Bosnia and Herzegovina,H,Transport & storage,2022,0.84
BE,Belgium,C,Manufacturing,2022,28.35
BE,Belgium,G,Wholesale & retail,2022,7.84
BE,Belgium,J,Information & communication,2022,1.91
BE,Belgium,F,Construction,2022,7.42
BE,Belgium,N,Administrative services,2022,3.83
BE,Belgium,H,Transport & storage,2022,8.07
BE,Belgium,I,Accommodation & food,2022,3.5
BE,Belgium,ICT,ICT sector,2022,2.19
BG,Bulgaria,C,Manufacturing,2022,9.64
BG,Bulgaria,G,Wholesale & retail,2022,1.67
BG,Bulgaria,F,Construction,2022,0.79
BG,Bulgaria,ICT,ICT sector,2022,2.49
CY,Cyprus,C,Manufacturing,2022,8.96
CY,Cyprus,G,Wholesale & retail,2022,0.19
CY,Cyprus,J,Information & communication,2022,0.0
CY,Cyprus,F,Construction,2022,0.28
CY,Cyprus,N,Administrative services,2022,2.26
CY,Cyprus,H,Transport & storage,2022,1.18
CY,Cyprus,I,Accommodation & food,2022,0.33
CY,Cyprus,ICT,ICT sector,2022,0.0
CZ,Czechia,C,Manufacturing,2022,16.64
CZ,Czechia,G,Wholesale & retail,2022,1.59
CZ,Czechia,J,Information & communication,2022,1.34
CZ,Czechia,F,Construction,2022,2.49
CZ,Czechia,N,Administrative services,2022,1.08
CZ,Czechia,H,Transport & storage,2022,0.77
CZ,Czechia,I,Accommodation & food,2022,0.53
CZ,Czechia,ICT,ICT sector,2022,3.23
DE,Germany,C,Manufacturing,2022,15.94
DE,Germany,G,Wholesale & retail,2022,4.35
DE,Germany,J,Information & communication,2022,2.33
DE,Germany,F,Construction,2022,1.6
DE,Germany,N,Administrative services,2022,1.45
DE,Germany,H,Transport & storage,2022,2.17
DE,Germany,I,Accommodation & food,2022,1.81
DE,Germany,ICT,ICT sector,2022,3.84
DK,Denmark,C,Manufacturing,2022,39.2
DK,Denmark,G,Wholesale & retail,2022,11.55
DK,Denmark,J,Information & communication,2022,1.99
DK,Denmark,F,Construction,2022,2.4
DK,Denmark,N,Administrative services,2022,3.93
DK,Denmark,H,Transport & storage,2022,2.74
DK,Denmark,I,Accommodation & food,2022,2.56
DK,Denmark,ICT,ICT sector,2022,4.04
EE,Estonia,C,Manufacturing,2022,13.38
EE,Estonia,G,Wholesale & retail,2022,3.95
EE,Estonia,J,Information & communication,2022,1.11
EE,Estonia,F,Construction,2022,1.03
EE,Estonia,N,Administrative services,2022,3.12
EE,Estonia,H,Transport & storage,2022,1.11
EE,Estonia,I,Accommodation & food,2022,4.22
